BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime	IPI1	IPI2	IPI3	IPI4	IPI5	IPI6	IPI7	IPI8	IPI9	IPI10	IPI0	is_trained_seq	is_untrained_seq	is_rand_seq	is_digit_changed
2	17	3	0	2	1	0	35421252143	35421252143	8	0	3	3	5	4	2	1	2	5	2	1	4	3	1080	4900	5980	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1085	1465	1905	2265	2645	3055	3605	4355	4825	5215	5690	3500.0	2940.0	0	-1	9200	-1	-1	1	0	0	380	440	360	380	410	550	750	470	390	475	1080	True	False	False	False
2	18	3	0	2	1	0	13524232514	13524232514	8	0	11	1	3	5	2	4	2	3	2	5	1	4	1060	5610	6670	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	1065	1745	2095	2600	3265	3900	4310	4710	5230	5735	6330	3500.0	2940.0	0	-1	9890	-1	-1	1	0	0	680	350	505	665	635	410	400	520	505	595	1060	True	False	False	False
2	19	3	0	2	1	0	35421252143	35421252143	8	0	11	3	5	4	2	1	2	5	2	1	4	3	1155	5355	6510	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1160	1490	1990	2405	2790	3075	3405	4335	4775	5205	6170	3500.0	2940.0	0	-1	9730	-1	-1	1	0	0	330	500	415	385	285	330	930	440	430	965	1155	True	False	False	False
2	20	3	0	2	1	0	13524232514	13524232514	8	0	3	1	3	5	2	4	2	3	2	5	1	4	780	6040	6820	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	785	1550	1900	2430	3200	5135	5465	5745	6015	6325	6585	3500.0	2940.0	0	-1	10040	-1	-1	1	0	0	765	350	530	770	1935	330	280	270	310	260	780	True	False	False	False
2	21	3	0	2	1	0	13524232514	13524232514	8	0	3	1	3	5	2	4	2	3	2	5	1	4	1100	5440	6540	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	1105	1365	1575	2010	2885	4005	4410	4750	5540	6060	6365	3500.0	2940.0	0	-1	9760	-1	-1	1	0	0	260	210	435	875	1120	405	340	790	520	305	1100	True	False	False	False
2	22	3	0	2	1	0	13524232514	13524232514	8	0	4	1	3	5	2	4	2	3	2	5	1	4	730	5305	6035	1	0	0	1	1	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	735	1145	1975	2425	2935	3685	4110	4495	5000	5350	5740	3500.0	2940.0	0	-1	9255	-1	-1	1	0	0	410	830	450	510	750	425	385	505	350	390	730	True	False	False	False
2	23	3	0	2	1	0	13524232514	13524232514	8	0	3	1	3	5	2	4	2	3	2	5	1	4	630	5435	6065	1	0	0	1	4	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	635	1035	1350	2145	2840	3530	4325	4785	5325	5620	5890	3500.0	2940.0	0	-1	9285	-1	-1	1	0	0	400	315	795	695	690	795	460	540	295	270	630	True	False	False	False
2	24	3	0	2	1	0	13524232514	13524232514	8	0	2	1	3	5	2	4	2	3	2	5	1	4	860	5810	6670	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	865	1225	1935	3010	3330	3715	4200	4505	4850	5110	6365	3500.0	2940.0	0	-1	9890	-1	-1	1	0	0	360	710	1075	320	385	485	305	345	260	1255	860	True	False	False	False
2	25	3	0	2	1	0	13524232514	13524232514	8	0	4	1	3	5	2	4	2	3	2	5	1	4	725	5720	6445	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	730	1280	1580	2020	3255	4040	4585	5380	5710	6070	6265	3500.0	2940.0	0	-1	9665	-1	-1	1	0	0	550	300	440	1235	785	545	795	330	360	195	725	True	False	False	False
2	26	3	0	2	1	0	35421252143	35421252143	8	0	11	3	5	4	2	1	2	5	2	1	4	3	1370	6000	7370	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1375	1745	2470	3125	3720	4115	4980	6245	6605	6960	7225	3500.0	2940.0	0	-1	10590	-1	-1	1	0	0	370	725	655	595	395	865	1265	360	355	265	1370	True	False	False	False
2	27	3	0	2	1	0	35421252143	35421252143	8	0	4	3	5	4	2	1	2	5	2	1	4	3	1045	5520	6565	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1050	1325	2075	2695	3220	3730	4330	4910	5420	5815	6270	3500.0	2940.0	0	-1	9785	-1	-1	1	0	0	275	750	620	525	510	600	580	510	395	455	1045	True	False	False	False
2	28	3	0	2	1	0	35421252143	35421252143	8	0	11	3	5	4	2	1	2	5	2	1	4	3	1510	3785	5295	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1515	1815	2240	2610	2995	3390	3700	4070	4400	4750	5005	3500.0	2940.0	0	-1	8515	-1	-1	1	0	0	300	425	370	385	395	310	370	330	350	255	1510	True	False	False	False
2	29	3	0	2	1	0	13524232514	13524232514	8	0	3	1	3	5	2	4	2	3	2	5	1	4	670	6100	6770	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	675	1555	1960	2385	2990	3465	4110	4545	5215	5630	6410	3500.0	2940.0	0	-1	9990	-1	-1	1	0	0	880	405	425	605	475	645	435	670	415	780	670	True	False	False	False
2	30	3	0	2	1	0	13524232514	13524232514	8	0	4	1	3	5	2	4	2	3	2	5	1	4	700	3775	4475	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	705	1065	1360	1725	2095	2455	2815	3180	3510	3835	4145	3500.0	2940.0	0	-1	7695	-1	-1	1	0	0	360	295	365	370	360	360	365	330	325	310	700	True	False	False	False
2	31	3	0	2	1	0	13524232514	13524232514	8	0	2	1	3	5	2	4	2	3	2	5	1	4	700	4760	5460	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	705	1500	1865	2285	2675	3070	3515	3925	4365	4750	5235	3500.0	2940.0	0	-1	8680	-1	-1	1	0	0	795	365	420	390	395	445	410	440	385	485	700	True	False	False	False
2	32	3	0	2	1	0	13524232514	13524232514	8	0	11	1	3	5	2	4	2	3	2	5	1	4	750	3535	4285	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	755	1110	1370	1705	2025	2350	2760	3095	3425	3795	4000	3500.0	2940.0	0	-1	7505	-1	-1	1	0	0	355	260	335	320	325	410	335	330	370	205	750	True	False	False	False
3	1	3	0	2	1	0	13524232514	13524232514	8	0	2	1	3	5	2	4	2	3	2	5	1	4	885	3705	4590	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	890	1595	2000	2350	2640	2950	3285	3595	3900	4195	4415	3500.0	2940.0	0	-1	7810	-1	-1	1	0	0	705	405	350	290	310	335	310	305	295	220	885	True	False	False	False
