BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime
1	1	1	0	2	1	0	14325242135	14325242135	4	0	3	1	4	3	2	5	2	4	2	1	3	5	825	3375	4200	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	830	1050	1275	1835	2110	2455	2730	3275	3545	3790	3985	3500	2940	0	-1	7420	-1	-1	1	0	0
1	2	1	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	825	3325	4150	1	0	0	1	3	5	2	4	2	4	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	830	995	1355	1610	1860	2075	2320	3185	3400	3725	3970	3500	2940	0	-1	7370	-1	-1	1	0	0
1	3	1	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	735	2720	3455	0	0	2	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	740	945	1170	1420	1710	1940	2190	2460	2770	3070	3285	3500	2940	0	-1	6675	-1	-1	1	0	0
1	4	1	0	2	1	0	51423252413	51423252413	4	0	2	5	1	4	2	3	2	5	2	4	1	3	710	2905	3615	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	715	995	1275	1465	1750	2140	2420	2665	2905	3195	3395	3500	2940	0	-1	6835	-1	-1	1	0	0
1	5	1	0	2	1	0	51423252413	51423252413	4	0	4	5	1	4	2	3	2	5	2	4	1	3	510	2575	3085	0	0	2	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	515	790	1010	1205	1440	1695	1945	2160	2435	2680	2840	3500	2940	0	-1	6305	-1	-1	1	0	0
1	6	1	0	2	1	0	51423252413	51423252413	4	0	2	5	1	4	2	3	2	5	2	4	1	3	420	2425	2845	0	0	3	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	425	650	875	1095	1340	1550	1785	1990	2250	2455	2595	3500	2940	0	-1	6065	-1	-1	1	0	0
1	7	1	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	420	3050	3470	1	0	0	1	3	5	2	4	2	3	2	5	2	4	2	2	2	2	2	2	2	2	2	2	2	425	640	920	1125	1395	1610	1885	2120	2375	2600	3210	3500	2940	0	-1	6690	-1	-1	1	0	0
1	8	1	0	2	1	0	14325242135	14325242135	4	0	11	1	4	3	2	5	2	4	2	1	3	5	590	3095	3685	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	595	800	1120	1400	1655	1895	2295	2700	2980	3245	3435	3500	2940	0	-1	6905	-1	-1	1	0	0
1	9	1	0	2	1	0	14325242135	14325242135	4	0	11	1	4	3	2	5	2	4	2	1	3	5	550	2535	3085	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	555	795	1005	1245	1475	1695	1950	2185	2505	2720	2870	3500	2940	0	-1	6305	-1	-1	1	0	0
1	10	1	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	485	2580	3065	0	0	2	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	490	750	950	1170	1405	1580	1840	2085	2405	2685	2875	3500	2940	0	-1	6285	-1	-1	1	0	0
1	11	1	0	2	1	0	14325242135	14325242135	4	0	2	1	4	3	2	5	2	4	2	1	3	5	445	2555	3000	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	450	695	930	1155	1410	1625	1870	2110	2415	2590	2780	3500	2940	0	-1	6220	-1	-1	1	0	0
1	12	1	0	2	1	0	51423252413	51423252413	4	0	3	5	1	4	2	3	2	5	2	4	1	3	440	2455	2895	0	0	3	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	445	710	925	1125	1360	1595	1810	2030	2280	2515	2660	3500	2940	0	-1	6115	-1	-1	1	0	0
1	13	1	0	2	1	0	14325242135	14325242135	4	0	3	1	4	3	2	5	2	4	2	1	3	5	600	2695	3295	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	605	870	1090	1315	1565	1770	2010	2250	2730	2915	3060	3500	2940	0	-1	6515	-1	-1	1	0	0
1	14	1	0	2	1	0	35421252143	35421252143	4	0	11	3	5	4	2	1	2	5	2	1	4	3	695	3920	4615	1	0	0	1	5	2	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	700	1375	1640	2385	2660	2975	3230	3500	3945	4220	4400	3500	2940	0	-1	7835	-1	-1	1	0	0
