BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime	
1	1	2	1	2	1	0	14325242135	14325242135	8	0	2	1	4	3	2	5	2	4	2	1	3	5	960.000	4995.000	5955.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	965.000	1475.000	1925.000	2300.000	2745.000	3335.000	3960.000	4555.000	4895.000	5430.000	5655.000	3500.000	2940.000	0	-1	9175	-1	-1	1	0	0	
1	2	2	1	2	1	0	13524232514	13524232514	8	0	3	1	3	5	2	4	2	3	2	5	1	4	1255.000	4095.000	5350.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	1260.000	1530.000	1885.000	2300.000	2690.000	3045.000	3425.000	3750.000	4180.000	4720.000	5065.000	3500.000	2940.000	0	-1	8570	-1	-1	1	0	0	
1	3	2	1	2	1	0	13524232514	13524232514	8	0	2	1	3	5	2	4	2	3	2	5	1	4	875.000	4170.000	5045.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	880.000	1170.000	1520.000	1985.000	2290.000	2755.000	3225.000	3545.000	4000.000	4390.000	4695.000	3500.000	2940.000	0	-1	8265	-1	-1	1	0	0	
1	4	2	1	2	1	0	13524232514	13524232514	8	0	11	1	3	5	2	4	2	3	2	5	1	4	655.000	4025.000	4680.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	660.000	1205.000	1500.000	1935.000	2315.000	2725.000	3140.000	3460.000	3795.000	4150.000	4390.000	3500.000	2940.000	0	-1	7900	-1	-1	1	0	0	
1	5	2	1	2	1	0	13524232514	13524232514	8	0	11	1	3	5	2	4	2	3	2	5	1	4	635.000	3960.000	4595.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	640.000	915.000	1160.000	1705.000	2010.000	2375.000	2805.000	3110.000	3560.000	3960.000	4205.000	3500.000	2940.000	0	-1	7815	-1	-1	1	0	0	
1	6	2	1	2	1	0	13524232514	13524232514	8	0	3	1	3	5	2	4	2	3	2	5	1	4	650.000	3810.000	4460.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	655.000	965.000	1325.000	1675.000	1990.000	2295.000	2650.000	3020.000	3410.000	3705.000	4135.000	3500.000	2940.000	0	-1	7680	-1	-1	1	0	0	
1	7	2	1	2	1	0	35421252143	35421252143	8	0	11	3	5	4	2	1	2	5	2	1	4	3	1370.000	4525.000	5895.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1375.000	2110.000	2515.000	2905.000	3275.000	3690.000	4180.000	4500.000	4905.000	5195.000	5575.000	3500.000	2940.000	0	-1	9115	-1	-1	1	0	0	
1	8	2	1	2	1	0	51423252413	51423252413	8	0	4	5	1	4	2	3	2	5	2	4	1	3	875.000	3935.000	4810.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	880.000	1210.000	1475.000	1835.000	2190.000	2530.000	2880.000	3210.000	3805.000	4160.000	4490.000	3500.000	2940.000	0	-1	8030	-1	-1	1	0	0	
1	9	2	1	2	1	0	51423252413	51423252413	8	0	4	5	1	4	2	3	2	5	2	4	1	3	620.000	4655.000	5275.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	625.000	1030.000	1325.000	1735.000	2100.000	2335.000	2805.000	3485.000	3920.000	4690.000	5025.000	3500.000	2940.000	0	-1	8495	-1	-1	1	0	0	
1	10	2	1	2	1	0	35421252143	35421252143	8	0	3	3	5	4	2	1	2	5	2	1	4	3	1220.000	4410.000	5630.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1225.000	1540.000	1910.000	2240.000	2680.000	3210.000	3755.000	4115.000	4475.000	5005.000	5390.000	3500.000	2940.000	0	-1	8850	-1	-1	1	0	0	
1	11	2	1	2	1	0	51423252413	51423252413	8	0	11	5	1	4	2	3	2	5	2	4	1	3	665.000	3415.000	4080.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	670.000	1055.000	1285.000	1650.000	1995.000	2355.000	2685.000	2995.000	3270.000	3565.000	3765.000	3500.000	2940.000	0	-1	7300	-1	-1	1	0	0	
1	12	2	1	2	1	0	51423252413	51423252413	8	0	11	5	1	4	2	3	2	5	2	4	1	3	660.000	3875.000	4535.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	665.000	1015.000	1320.000	1670.000	1965.000	2310.000	2840.000	3180.000	3570.000	4005.000	4205.000	3500.000	2940.000	0	-1	7755	-1	-1	1	0	0	
1	13	2	1	2	1	0	35421252143	35421252143	8	0	3	3	5	4	2	1	2	5	2	1	4	3	1900.000	3710.000	5610.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1905.000	2170.000	2490.000	2825.000	3300.000	3580.000	3985.000	4335.000	4635.000	4945.000	5305.000	3500.000	2940.000	0	-1	8830	-1	-1	1	0	0	
1	14	2	1	2	1	0	35421252143	35421252143	8	0	2	3	5	4	2	1	2	5	2	1	4	3	1090.000	3640.000	4730.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1095.000	1355.000	1685.000	2070.000	2495.000	2775.000	3100.000	3385.000	3895.000	4130.000	4440.000	3500.000	2940.000	0	-1	7950	-1	-1	1	0	0	
1	15	2	1	2	1	0	14325242135	14325242135	8	0	2	1	4	3	2	5	2	4	2	1	3	5	585.000	3325.000	3910.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	590.000	865.000	1220.000	1545.000	1905.000	2230.000	2480.000	2770.000	3140.000	3395.000	3705.000	3500.000	2940.000	0	-1	7130	-1	-1	1	0	0	
1	16	2	1	2	1	0	14325242135	14325242135	8	0	4	1	4	3	2	5	2	4	2	1	3	5	600.000	4460.000	5060.000	1	0	0	1	4	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	605.000	825.000	1120.000	1385.000	1710.000	2015.000	2275.000	2620.000	3175.000	3420.000	4730.000	3500.000	2940.000	0	-1	8280	-1	-1	1	0	0	
1	17	2	1	2	1	0	51423252413	51423252413	8	0	2	5	1	4	2	3	2	5	2	4	1	3	760.000	5520.000	6280.000	1	0	0	5	1	4	2	3	2	4	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	765.000	1825.000	2245.000	2595.000	2965.000	3320.000	3760.000	4665.000	5420.000	5790.000	6030.000	3500.000	2940.000	0	-1	9500	-1	-1	1	0	0	
1	18	2	1	2	1	0	35421252143	35421252143	8	0	11	3	5	4	2	1	2	5	2	1	4	3	1815.000	4475.000	6290.000	1	0	0	3	5	4	2	1	2	5	2	1	4	2	2	2	2	2	2	2	2	2	2	2	2	1820.000	3220.000	3575.000	3890.000	4155.000	4465.000	4790.000	5070.000	5440.000	5735.000	5995.000	3500.000	2940.000	0	-1	9510	-1	-1	1	0	0	
1	19	2	1	2	1	0	14325242135	14325242135	8	0	11	1	4	3	2	5	2	4	2	1	3	5	760.000	3600.000	4360.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	765.000	1100.000	1430.000	1750.000	2090.000	2465.000	2925.000	3205.000	3605.000	3875.000	4105.000	3500.000	2940.000	0	-1	7580	-1	-1	1	0	0	
1	20	2	1	2	1	0	14325242135	14325242135	8	0	3	1	4	3	2	5	2	4	2	1	3	5	855.000	3185.000	4040.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	860.000	1080.000	1355.000	1620.000	2015.000	2310.000	2690.000	2940.000	3405.000	3590.000	3815.000	3500.000	2940.000	0	-1	7260	-1	-1	1	0	0	
1	21	2	1	2	1	0	51423252413	51423252413	8	0	3	5	1	4	2	3	2	5	2	4	1	3	810.000	3285.000	4095.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	815.000	1115.000	1385.000	1745.000	2105.000	2410.000	2770.000	3010.000	3290.000	3580.000	3805.000	3500.000	2940.000	0	-1	7315	-1	-1	1	0	0	
1	22	2	1	2	1	0	14325242135	14325242135	8	0	11	1	4	3	2	5	2	4	2	1	3	5	595.000	3740.000	4335.000	1	0	0	1	4	2	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	600.000	815.000	1250.000	2010.000	2685.000	2910.000	3300.000	3530.000	3795.000	3955.000	4110.000	3500.000	2940.000	0	-1	7555	-1	-1	1	0	0	
1	23	2	1	2	1	0	35421252143	35421252143	8	0	2	3	5	4	2	1	2	5	2	1	4	3	980.000	4400.000	5380.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	985.000	1210.000	1595.000	1910.000	2440.000	3010.000	3430.000	3730.000	4435.000	4695.000	5110.000	3500.000	2940.000	0	-1	8600	-1	-1	1	0	0	
1	24	2	1	2	1	0	14325242135	14325242135	8	0	3	1	4	3	2	5	2	4	2	1	3	5	655.000	3705.000	4360.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	660.000	915.000	1285.000	1580.000	1955.000	2245.000	2535.000	3085.000	3710.000	3965.000	4140.000	3500.000	2940.000	0	-1	7580	-1	-1	1	0	0	
1	25	2	1	2	1	0	13524232514	13524232514	8	0	2	1	3	5	2	4	2	3	2	5	1	4	605.000	3540.000	4145.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	610.000	855.000	1080.000	1540.000	1830.000	2140.000	2430.000	2735.000	3115.000	3520.000	3795.000	3500.000	2940.000	0	-1	7365	-1	-1	1	0	0	
1	26	2	1	2	1	0	35421252143	35421252143	8	0	4	3	5	4	2	1	2	5	2	1	4	3	1310.000	4030.000	5340.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1315.000	1555.000	1865.000	2165.000	2510.000	2755.000	3220.000	3565.000	4420.000	4560.000	5035.000	3500.000	2940.000	0	-1	8560	-1	-1	1	0	0	
1	27	2	1	2	1	0	13524232514	13524232514	8	0	4	1	3	5	2	4	2	3	2	5	1	4	640.000	3240.000	3880.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	645.000	810.000	1110.000	1415.000	1680.000	1940.000	2260.000	2530.000	2875.000	3200.000	3395.000	3500.000	2940.000	0	-1	7100	-1	-1	1	0	0	
1	28	2	1	2	1	0	51423252413	51423252413	8	0	3	5	1	4	2	3	2	5	2	4	1	3	680.000	3855.000	4535.000	1	0	0	5	1	4	2	4	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	685.000	955.000	1210.000	1605.000	1920.000	2450.000	3320.000	3540.000	3825.000	4105.000	4255.000	3500.000	2940.000	0	-1	7755	-1	-1	1	0	0	
1	29	2	1	2	1	0	14325242135	14325242135	8	0	4	1	4	3	2	5	2	4	2	1	3	5	595.000	3550.000	4145.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	600.000	800.000	1100.000	1365.000	1865.000	2140.000	2560.000	2820.000	3520.000	3700.000	3875.000	3500.000	2940.000	0	-1	7365	-1	-1	1	0	0	
1	30	2	1	2	1	0	35421252143	35421252143	8	0	4	3	5	4	2	1	2	5	2	1	4	3	1555.000	5665.000	7220.000	1	0	0	3	5	4	2	4	1	5	2	4	4	3	2	2	2	2	2	2	2	2	2	2	2	1560.000	1865.000	2180.000	2490.000	2760.000	3755.000	5070.000	5370.000	5630.000	6335.000	6990.000	3500.000	2940.000	0	-1	10440	-1	-1	1	0	0	
1	31	2	1	2	1	0	13524232514	13524232514	8	0	4	1	3	5	2	4	2	3	2	5	1	4	580.000	3165.000	3745.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	585.000	820.000	1040.000	1305.000	1540.000	1825.000	2145.000	2430.000	2800.000	3205.000	3390.000	3500.000	2940.000	0	-1	6965	-1	-1	1	0	0	
1	32	2	1	2	1	0	51423252413	51423252413	8	0	2	5	1	4	2	3	2	5	2	4	1	3	990.000	3675.000	4665.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	995.000	1305.000	1570.000	1840.000	2120.000	2445.000	3360.000	3645.000	3870.000	4280.000	4440.000	3500.000	2940.000	0	-1	7885	-1	-1	1	0	0	
