BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime
1	1	3	0	2	1	0	14325242135	14325242135	8	0	3	1	4	3	2	5	2	4	2	1	3	5	1090	6445	7535	1	0	0	1	4	5	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	1095	1525	1780	3095	3565	4145	4870	5515	5995	6680	7245	3500	2940	0	-1	10755	-1	-1	1	0	0
1	2	3	0	2	1	0	13524232514	13524232514	8	0	4	1	3	5	2	4	2	3	2	5	1	4	2000	6105	8105	1	0	0	1	3	5	2	4	3	2	2	4	5	1	2	2	2	2	2	2	2	2	2	2	2	2005	2330	2885	3395	3720	4160	4615	6075	7215	7230	8035	3500	2940	0	-1	11540	-1	-1	1	0	0
1	3	3	0	2	1	0	51423252413	51423252413	8	0	2	5	1	4	2	3	2	5	2	4	1	3	935	6005	6940	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	940	1400	2220	3160	3790	4285	4650	5155	5645	6215	6710	3500	2940	0	-1	10160	-1	-1	1	0	0
1	4	3	0	2	1	0	51423252413	51423252413	8	0	11	5	1	4	2	3	2	5	2	4	1	3	705	4505	5210	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	710	1120	1435	1840	2260	2630	2975	3415	3925	4620	5005	3500	2940	0	-1	8430	-1	-1	1	0	0
1	5	3	0	2	1	0	14325242135	14325242135	8	0	2	1	4	3	2	5	2	4	2	1	3	5	860	5065	5925	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	865	1330	1865	2320	2800	3335	3830	4390	4880	5255	5620	3500	2940	0	-1	9145	-1	-1	1	0	0
1	6	3	0	2	1	0	13524232514	13524232514	8	0	3	1	3	5	2	4	2	3	2	5	1	4	590	5190	5780	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	595	1035	1395	2040	2440	3130	3580	4145	4615	5065	5460	3500	2940	0	-1	9000	-1	-1	1	0	0
1	7	3	0	2	1	0	35421252143	35421252143	8	0	2	3	5	4	2	1	2	5	2	1	4	3	860	6215	7075	1	0	0	2	4	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	865	1165	2300	2800	3235	3610	4190	5245	5660	6245	6865	3500	2940	0	-1	10295	-1	-1	1	0	0
1	8	3	0	2	1	0	51423252413	51423252413	8	0	11	5	1	4	2	3	2	5	2	4	1	3	710	5615	6325	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	715	1160	1615	2115	2600	3140	3840	4545	5280	5755	6150	3500	2940	0	-1	9545	-1	-1	1	0	0
1	9	3	0	2	1	0	14325242135	14325242135	8	0	4	1	4	3	2	5	2	4	2	1	3	5	620	4880	5500	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	625	1035	1520	1820	2185	2840	3300	3845	4345	4775	5215	3500	2940	0	-1	8720	-1	-1	1	0	0
1	10	3	0	2	1	0	13524232514	13524232514	8	0	4	1	3	5	2	4	2	3	2	5	1	4	615	5190	5805	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	620	1185	1555	2060	2995	3590	3980	4415	4830	5210	5630	3500	2940	0	-1	9025	-1	-1	1	0	0
1	11	3	0	2	1	0	35421252143	35421252143	8	0	4	3	5	4	2	1	2	5	2	1	4	3	1370	5380	6750	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1375	1800	2425	3160	3500	3900	4505	5110	5645	6130	6475	3500	2940	0	-1	9970	-1	-1	1	0	0
1	12	3	0	2	1	0	13524232514	13524232514	8	0	2	1	3	5	2	4	2	3	2	5	1	4	575	7025	7600	1	0	0	1	3	4	5	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	580	1055	1585	1835	2865	3340	3970	4855	5775	6460	7390	3500	2940	0	-1	10820	-1	-1	1	0	0
1	13	3	0	2	1	0	35421252143	35421252143	8	0	4	3	5	4	2	1	2	5	2	1	4	3	1625	5420	7045	1	0	0	3	5	4	2	1	2	5	2	1	3	3	2	2	2	2	2	2	2	2	2	2	2	1630	1970	2565	3460	3865	4230	4620	5020	5550	6055	6855	3500	2940	0	-1	10265	-1	-1	1	0	0
1	14	3	0	2	1	0	35421252143	35421252143	8	0	11	3	5	4	2	1	2	5	2	1	4	3	1060	6845	7905	1	0	0	4	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1065	1975	3635	4370	4725	5010	5355	5750	6115	7480	7765	3500	2940	0	-1	11125	-1	-1	1	0	0
1	15	3	0	2	1	0	51423252413	51423252413	8	0	4	5	1	4	2	3	2	5	2	4	1	3	780	5415	6195	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	785	1255	1685	2080	2440	2870	3300	3850	4720	5420	5950	3500	2940	0	-1	9415	-1	-1	1	0	0
1	16	3	0	2	1	0	35421252143	35421252143	8	0	3	3	5	4	2	1	2	5	2	1	4	3	1400	5930	7330	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1405	1760	2205	2660	3115	3540	4075	4560	5015	5615	7010	3500	2940	0	-1	10550	-1	-1	1	0	0
1	17	3	0	2	1	0	51423252413	51423252413	8	0	2	5	1	4	2	3	2	5	2	4	1	3	660	4670	5330	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	665	1120	1490	1880	2190	2580	3015	3420	4195	4725	5075	3500	2940	0	-1	8550	-1	-1	1	0	0
1	18	3	0	2	1	0	14325242135	14325242135	8	0	11	1	4	3	2	5	2	4	2	1	3	5	625	5425	6050	1	0	0	1	4	3	2	5	2	4	2	1	3	4	2	2	2	2	2	2	2	2	2	2	2	630	1095	1585	1965	2560	3460	3950	4380	4740	5175	5675	3500	2940	0	-1	9270	-1	-1	1	0	0
1	19	3	0	2	1	0	14325242135	14325242135	8	0	4	1	4	3	2	5	2	4	2	1	3	5	800	6625	7425	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	805	1215	1650	2025	2945	4040	4750	5380	5935	6475	7140	3500	2940	0	-1	10645	-1	-1	1	0	0
1	20	3	0	2	1	0	14325242135	14325242135	8	0	2	1	4	3	2	5	2	4	2	1	3	5	595	8440	9035	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	600	1015	1735	3030	4295	5350	6100	6740	7215	7845	8730	3500	2940	0	-1	12255	-1	-1	1	0	0
1	21	3	0	2	1	0	13524232514	13524232514	8	0	3	1	3	5	2	4	2	3	2	5	1	4	650	5330	5980	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	655	1095	1465	1930	2590	3195	3610	4000	4855	5330	5745	3500	2940	0	-1	9200	-1	-1	1	0	0
1	22	3	0	2	1	0	35421252143	35421252143	8	0	2	3	5	4	2	1	2	5	2	1	4	3	1125	4680	5805	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1130	1605	2050	2625	3025	3385	3765	4190	4635	5190	5555	3500	2940	0	-1	9025	-1	-1	1	0	0
1	23	3	0	2	1	0	13524232514	13524232514	8	0	11	1	3	5	2	4	2	3	2	5	1	4	590	5375	5965	1	0	0	1	3	5	2	4	3	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	595	990	1345	1920	2400	2915	3865	4530	5160	5500	5800	3500	2940	0	-1	9185	-1	-1	1	0	0
1	24	3	0	2	1	0	35421252143	35421252143	8	0	3	3	5	4	2	1	2	5	2	1	4	3	1270	6620	7890	1	0	0	3	5	4	2	1	2	5	3	1	3	4	2	2	2	2	2	2	2	2	2	2	2	1275	1645	1965	2765	3240	3590	3935	5450	6940	7430	7510	3500	2940	0	-1	11110	-1	-1	1	0	0
1	25	3	0	2	1	0	14325242135	14325242135	8	0	11	1	4	3	2	5	2	4	2	1	3	5	820	5375	6195	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	825	1455	1915	2255	2875	3440	3940	4725	5165	5680	6020	3500	2940	0	-1	9415	-1	-1	1	0	0
1	26	3	0	2	1	0	51423252413	51423252413	8	0	3	5	1	4	2	3	2	5	2	4	1	3	1145	4510	5655	1	0	0	5	1	4	3	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	1150	1545	1895	2235	3005	3425	3825	4335	4850	5230	5570	3500	2940	0	-1	8875	-1	-1	1	0	0
1	27	3	0	2	1	0	14325242135	14325242135	8	0	3	1	4	3	2	5	2	4	2	1	3	5	710	5400	6110	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	715	1080	1515	2155	2600	3185	4000	4520	5100	5585	5920	3500	2940	0	-1	9330	-1	-1	1	0	0
1	28	3	0	2	1	0	51423252413	51423252413	8	0	4	5	1	4	2	3	2	5	2	4	1	3	690	5430	6120	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	695	1220	1720	2170	2580	2970	3380	4035	4485	5220	5885	3500	2940	0	-1	9340	-1	-1	1	0	0
1	29	3	0	2	1	0	35421252143	35421252143	8	0	11	3	5	4	2	1	2	5	2	1	4	3	1340	4445	5785	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1345	1700	2165	2585	3040	3410	3775	4170	4580	4965	5695	3500	2940	0	-1	9005	-1	-1	1	0	0
