BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime	
5	24	5	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	585.000	1935.000	2520.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	590.000	750.000	1010.000	1165.000	1335.000	1495.000	1645.000	1815.000	1975.000	2185.000	2300.000	3129.000	2920.400	0	-1	5740	-1	-1	1	0	0	
5	25	5	0	2	1	0	35421252143	35421252143	4	0	11	3	5	4	2	1	2	5	2	1	4	3	710.000	2670.000	3380.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	715.000	930.000	1155.000	1395.000	1615.000	1875.000	2190.000	2440.000	2885.000	3055.000	3165.000	3129.000	2920.400	0	-1	6600	-1	-1	1	0	0	
5	26	5	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	590.000	1845.000	2435.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	595.000	730.000	955.000	1125.000	1270.000	1425.000	1570.000	1700.000	1920.000	2100.000	2220.000	3129.000	2920.400	0	-1	5655	-1	-1	1	0	0	
5	27	5	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	660.000	1750.000	2410.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	665.000	805.000	1050.000	1205.000	1340.000	1485.000	1610.000	1740.000	1905.000	2090.000	2190.000	3129.000	2920.400	0	-1	5630	-1	-1	1	0	0	
5	28	5	0	2	1	0	35421252143	35421252143	4	0	4	3	5	4	2	1	2	5	2	1	4	3	615.000	2335.000	2950.000	0	0	2	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	620.000	845.000	915.000	1135.000	1370.000	1620.000	1885.000	2150.000	2435.000	2625.000	2740.000	3129.000	2920.400	0	-1	6170	-1	-1	1	0	0	
5	29	5	0	2	1	0	35421252143	35421252143	4	0	3	3	5	4	2	1	2	5	2	1	4	3	1110.000	4265.000	5375.000	1	0	0	3	5	2	1	1	2	4	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1115.000	1290.000	1515.000	1740.000	2945.000	3090.000	3295.000	4480.000	4695.000	4925.000	5165.000	3129.000	2920.400	0	-1	8595	-1	-1	1	0	0	
5	30	5	0	2	1	0	35421252143	35421252143	4	0	3	3	5	4	2	1	2	5	2	1	4	3	950.000	2430.000	3380.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	955.000	1175.000	1390.000	1590.000	1790.000	2035.000	2285.000	2585.000	2845.000	3045.000	3145.000	3129.000	2920.400	0	-1	6600	-1	-1	1	0	0	
5	31	5	0	2	1	0	13524232514	13524232514	4	0	3	1	3	5	2	4	2	3	2	5	1	4	740.000	1795.000	2535.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	745.000	875.000	1120.000	1260.000	1415.000	1565.000	1700.000	1830.000	2035.000	2190.000	2310.000	3129.000	2920.400	0	-1	5755	-1	-1	1	0	0	
5	32	5	0	2	1	0	35421252143	35421252143	4	0	11	3	5	4	2	1	2	5	2	1	4	3	565.000	2360.000	2925.000	0	0	2	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	570.000	780.000	935.000	1155.000	1355.000	1605.000	1910.000	2150.000	2385.000	2575.000	2710.000	3129.000	2920.400	0	-1	6145	-1	-1	1	0	0	
6	1	5	0	2	1	0	35421252143	35421252143	4	0	4	3	5	4	2	1	2	5	2	1	4	3	640.000	2335.000	2975.000	0	0	2	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	645.000	875.000	1030.000	1275.000	1480.000	1730.000	1985.000	2190.000	2495.000	2660.000	2775.000	3066.000	2861.600	0	-1	6195	-1	-1	1	0	0	
